STATION,DATE,TEMP,MAX,MIN,Celsius
RP000098755,2017-05-03,82.22,90.68,,28
RP000098755,2017-05-04,82.94,91.58,76.10,28
RP000098755,2017-05-05,81.86,92.48,76.10,28
RP000098755,2017-05-06,79.52,86.36,,26
RP000098755,2017-05-07,80.96,87.62,75.20,27
RP000098755,2017-05-08,81.14,89.60,76.10,27
RP000098755,2017-05-09,80.42,87.44,76.10,27
RP000098755,2017-05-10,83.66,91.58,76.46,29
RP000098755,2017-05-11,79.16,87.80,,26
RP000098755,2017-05-12,78.98,83.66,,26
RP000098755,2017-05-13,76.82,81.86,,25
RP000098755,2017-05-14,80.60,87.98,74.66,27
RP000098755,2017-05-15,80.42,90.50,,27
RP000098755,2017-05-16,81.50,88.52,75.56,28
RP000098755,2017-05-17,82.94,90.32,76.10,28
RP000098755,2017-05-18,82.76,92.30,75.20,28
RP000098755,2017-05-19,84.38,90.86,77.00,29
RP000098755,2017-05-20,83.84,93.56,,29
RP000098755,2017-05-21,82.58,92.12,,28
RP000098755,2017-05-22,83.12,91.94,75.02,28
RP000098755,2017-05-23,84.92,,76.10,29
RP000098755,2017-05-24,85.10,94.10,,29
RP000098755,2017-05-25,84.20,93.20,,29
RP000098755,2017-05-26,85.64,94.10,77.00,30
RP000098755,2017-05-27,85.46,93.38,78.08,30
RP000098755,2017-05-28,85.64,93.56,78.08,30
RP000098755,2017-05-29,82.04,91.94,,28
RP000098755,2017-05-30,82.76,92.30,75.20,28
RP000098755,2017-05-31,84.02,94.10,76.46,29
RP000098755,2017-06-01,83.12,93.92,,28
RP000098755,2017-06-02,84.02,93.20,75.02,29
RP000098755,2017-06-03,85.28,94.64,77.36,30
RP000098755,2017-06-04,84.38,92.84,,29
RP000098755,2017-06-05,80.24,92.30,,27
RP000098755,2017-06-06,83.30,90.14,75.02,28
RP000098755,2017-06-07,80.60,90.86,,27
RP000098755,2017-06-08,78.80,87.44,,26
RP000098755,2017-06-09,82.04,89.78,74.66,28
RP000098755,2017-06-10,82.94,89.60,76.82,28
RP000098755,2017-06-11,83.30,91.76,76.82,28
RP000098755,2017-06-12,82.04,89.78,77.00,28
RP000098755,2017-06-13,83.84,90.68,77.18,29
RP000098755,2017-06-14,83.48,93.74,,29
RP000098755,2017-06-15,81.68,,75.56,28
RP000098755,2017-06-16,79.88,85.28,,27
RP000098755,2017-06-17,82.04,93.02,,28
RP000098755,2017-06-18,83.48,93.20,74.30,29
RP000098755,2017-06-19,83.48,92.66,,29
RP000098755,2017-06-20,81.86,91.40,,28
RP000098755,2017-06-21,83.12,93.20,74.30,28
RP000098755,2017-06-22,81.86,90.14,,28
RP000098755,2017-06-23,82.94,91.76,74.30,28
RP000098755,2017-06-24,80.96,90.50,73.58,27
RP000098755,2017-06-25,83.12,93.74,74.84,28
RP000098755,2017-06-26,83.30,93.74,74.66,28
RP000098755,2017-06-27,83.66,93.38,75.56,29
RP000098755,2017-06-28,84.56,94.82,75.20,29
RP000098755,2017-06-29,80.96,91.94,,27
RP000098755,2017-06-30,81.86,91.76,74.84,28
RP000098755,2017-07-01,80.42,,74.84,27
RP000098755,2017-07-02,80.78,88.52,75.20,27
RP000098755,2017-07-03,81.86,89.24,75.02,28
RP000098755,2017-07-04,80.42,85.64,,27
RP000098755,2017-07-05,82.22,89.96,75.02,28
RP000098755,2017-07-06,80.60,88.52,,27
RP000098755,2017-07-07,81.32,88.16,74.48,27
RP000098755,2017-07-08,82.58,91.76,74.30,28
RP000098755,2017-07-09,81.32,90.86,74.30,27
RP000098755,2017-07-10,82.04,,,28
RP000098755,2017-07-11,80.78,86.90,75.20,27
RP000098755,2017-07-12,81.50,92.48,,28
RP000098755,2017-07-13,81.86,90.32,73.58,28
RP000098755,2017-07-14,78.62,90.14,,26
RP000098755,2017-07-15,79.88,85.64,74.30,27
RP000098755,2017-07-16,82.58,92.30,75.20,28
RP000098755,2017-07-17,81.86,88.52,76.10,28
RP000098755,2017-07-18,81.68,88.70,76.10,28
RP000098755,2017-07-19,81.50,91.04,,28
RP000098755,2017-07-20,83.66,89.96,75.20,29
RP000098755,2017-07-21,81.32,88.70,,27
RP000098755,2017-07-22,77.72,83.66,,25
RP000098755,2017-07-23,82.04,90.50,74.30,28
RP000098755,2017-07-24,81.68,90.14,75.38,28
RP000098755,2017-07-25,83.12,94.64,77.90,28
RP000098755,2017-07-26,85.28,95.18,77.90,30
RP000098755,2017-07-27,85.46,94.28,78.08,30
RP000098755,2017-07-28,85.64,94.10,78.62,30
RP000098755,2017-07-29,82.76,96.26,,28
RP000098755,2017-07-30,83.66,94.82,76.10,29
RP000098755,2017-07-31,82.04,92.84,,28
RP000098755,2017-08-01,81.86,86.72,75.02,28
RP000098755,2017-08-02,82.94,92.30,76.46,28
RP000098755,2017-08-03,83.48,95.00,76.82,29
RP000098755,2017-08-04,83.66,91.58,77.00,29
RP000098755,2017-08-05,83.84,93.56,77.00,29
RP000098755,2017-08-06,84.38,90.86,76.64,29
RP000098755,2017-08-07,82.94,90.50,,28
RP000098755,2017-08-08,83.84,91.58,77.00,29
RP000098755,2017-08-09,83.48,92.84,,29
RP000098755,2017-08-10,84.20,94.28,75.74,29
RP000098755,2017-08-11,83.30,90.50,76.64,28
RP000098755,2017-08-12,84.02,,75.92,29
RP000098755,2017-08-13,83.66,92.12,75.74,29
RP000098755,2017-08-14,81.68,90.32,,28
RP000098755,2017-08-15,80.96,89.24,75.02,27
RP000098755,2017-08-16,80.96,86.90,75.20,27
RP000098755,2017-08-17,84.02,93.38,75.56,29
RP000098755,2017-08-18,81.86,92.66,,28
RP000098755,2017-08-19,80.60,91.76,74.84,27
RP000098755,2017-08-20,83.48,92.48,75.20,29
RP000098755,2017-08-21,82.58,92.48,,28
RP000098755,2017-08-22,82.04,87.62,76.64,28
RP000098755,2017-08-23,80.06,,,27
RP000098755,2017-08-24,81.14,91.22,,27
RP000098755,2017-08-25,81.68,91.40,,28
RP000098755,2017-08-26,82.04,91.58,72.32,28
RP000098755,2017-08-27,82.22,88.70,74.84,28
RP000098755,2017-08-28,79.52,90.86,,26
RP000098755,2017-08-29,83.66,93.74,74.30,29
RP000098755,2017-08-30,85.28,94.82,77.00,30
RP000098755,2017-08-31,84.92,95.72,,29
RP000098755,2017-09-01,84.20,,,29
RP000098755,2017-09-02,84.74,92.30,75.20,29
RP000098755,2017-09-03,84.20,93.20,,29
