STATION,DATE,TEMP,MAX,MIN,Celsius
RPM00098646,2017-05-01,85.10,92.30,78.08,29
RPM00098646,2017-05-02,86.00,94.10,79.16,30
RPM00098646,2017-05-03,82.58,92.30,,28
RPM00098646,2017-05-04,84.92,90.32,74.30,29
RPM00098646,2017-05-05,85.46,90.68,79.88,30
RPM00098646,2017-05-06,85.46,89.78,80.60,30
RPM00098646,2017-05-07,81.14,86.90,,27
RPM00098646,2017-05-08,84.20,89.42,77.00,29
RPM00098646,2017-05-09,82.94,90.32,,28
RPM00098646,2017-05-10,83.48,89.60,77.00,29
RPM00098646,2017-05-11,82.76,87.80,78.80,28
RPM00098646,2017-05-12,82.04,86.72,,28
RPM00098646,2017-05-13,82.76,88.34,78.26,28
RPM00098646,2017-05-14,84.74,89.96,79.52,29
RPM00098646,2017-05-15,83.84,89.96,,29
RPM00098646,2017-05-16,84.02,90.50,,29
RPM00098646,2017-05-17,84.56,,77.54,29
RPM00098646,2017-05-18,85.10,91.94,77.72,29
RPM00098646,2017-05-19,86.00,92.66,79.70,30
RPM00098646,2017-05-20,83.84,91.22,,29
RPM00098646,2017-05-21,85.46,93.20,76.82,30
RPM00098646,2017-05-22,82.94,89.78,,28
RPM00098646,2017-05-23,83.66,92.12,78.80,29
RPM00098646,2017-05-24,84.38,92.48,,29
RPM00098646,2017-05-25,83.66,91.40,78.80,29
RPM00098646,2017-05-26,84.20,92.30,79.16,29
RPM00098646,2017-05-27,85.46,91.58,79.52,30
RPM00098646,2017-05-28,85.46,,,30
RPM00098646,2017-05-29,86.18,91.94,,30
RPM00098646,2017-05-30,85.64,92.48,,30
RPM00098646,2017-05-31,84.74,92.48,,29
RPM00098646,2017-06-01,85.46,92.66,,30
RPM00098646,2017-06-02,86.00,93.56,78.80,30
RPM00098646,2017-06-03,86.00,94.46,,30
RPM00098646,2017-06-04,86.36,96.44,,30
RPM00098646,2017-06-05,82.94,,,28
RPM00098646,2017-06-06,82.58,,75.92,28
RPM00098646,2017-06-07,83.48,,76.64,29
RPM00098646,2017-06-08,79.52,84.20,,26
RPM00098646,2017-06-09,80.78,85.28,75.02,27
RPM00098646,2017-06-10,83.48,90.50,78.08,29
RPM00098646,2017-06-11,84.92,92.30,78.44,29
RPM00098646,2017-06-12,83.12,90.50,78.08,28
RPM00098646,2017-06-13,84.74,91.76,78.44,29
RPM00098646,2017-06-14,85.10,,,29
RPM00098646,2017-06-15,85.28,,,30
RPM00098646,2017-06-16,84.74,91.04,,29
RPM00098646,2017-06-17,83.84,90.14,,29
RPM00098646,2017-06-18,84.20,90.32,75.38,29
RPM00098646,2017-06-19,84.56,90.50,77.00,29
RPM00098646,2017-06-20,83.48,91.04,77.72,29
RPM00098646,2017-06-21,82.58,90.68,,28
RPM00098646,2017-06-22,83.48,90.32,75.02,29
RPM00098646,2017-06-23,83.84,,,29
RPM00098646,2017-06-24,81.86,87.80,,28
RPM00098646,2017-06-25,85.10,,77.36,29
